dir_o,dir_d,0
Las Condes,Colina,1186
Maipu,Talagante,1180
Conchali,Santiago,1172
San Joaquin,La Granja,1171
San Ramon,El Bosque,1164
Padre Hurtado,Curacavi,1149
Talagante,Maipu,1143
Las Condes,La Florida,1137
La Cisterna,San Bernardo,1134
Calera de Tango,Padre Hurtado,1133
La Cisterna,Puente Alto,1127
Quilicura,Pudahuel,1109
Conchali,Independencia,1103
Paine,San Bernardo,1092
Puente Alto,Nunoa,1089
Pudahuel,Quilicura,1089
Santiago,La Cisterna,1086
El Monte,Isla de Maipo,1080
San Joaquin,La Florida,1067
Quilicura,Santiago,1062
Renca,Quilicura,1060
Macul,Puente Alto,1055
La Florida,La Reina,1054
Puente Alto,Macul,1052
Lo Espejo,Pedro Aguirre Cerda,1048
Lo Barnechea,Providencia,1045
Huechuraba,Colina,1042
Santiago,Penalolen,1037
Santiago,Conchali,1036
La Florida,San Joaquin,1034
Providencia,Vitacura,1017
Huechuraba,Quilicura,1015
San Bernardo,La Cisterna,1013
Maipu,Quinta Normal,1011
Conchali,Colina,1008
Independencia,Conchali,1007
La Granja,San Joaquin,1005
Padre Hurtado,Calera de Tango,997
Pedro Aguirre Cerda,Lo Espejo,992
Maipu,Quilicura,988
San Pedro,Melipilla,988
La Florida,Providencia,975
Maipu,Nunoa,967
El Bosque,Puente Alto,952
Quilicura,Maipu,952
Lo Prado,Maipu,935
Penalolen,Maipu,923
Nunoa,Puente Alto,923
Buin,Puente Alto,922
La Florida,San Miguel,922
Puente Alto,La Cisterna,921
Colina,Lo Barnechea,920
Quilicura,Renca,918
La Cisterna,La Florida,912
Santiago,Quilicura,910
La Florida,La Cisterna,908
Quinta Normal,Maipu,907
Cerro Navia,Maipu,907
Colina,Conchali,888
Maipu,Providencia,880
Puente Alto,San Miguel,878
Huechuraba,Las Condes,863
Renca,Maipu,863
Puente Alto,Buin,856
Providencia,Lo Barnechea,855
Quilicura,Huechuraba,850
San Ramon,Puente Alto,850
Providencia,La Florida,848
San Bernardo,San Miguel,848
Puente Alto,El Bosque,843
Melipilla,San Pedro,836
Maipu,Lo Prado,834
La Cisterna,Maipu,832
Huechuraba,Santiago,830
Recoleta,Quilicura,829
Melipilla,Maria Pinto,828
Pudahuel,Curacavi,826
Maipu,Penalolen,823
Colina,Vitacura,821
La Florida,San Bernardo,818
San Joaquin,Puente Alto,807
Las Condes,Huechuraba,807
Maipu,Renca,804
La Pintana,Colina,800
Calera de Tango,Maipu,795
San Bernardo,La Florida,793
Estacion Central,Pedro Aguirre Cerda,793
Calera de Tango,Talagante,784
Pedro Aguirre Cerda,Estacion Central,784
Estacion Central,San Miguel,783
Puente Alto,San Joaquin,782
San Miguel,La Florida,782
Maipu,San Miguel,779
Quilicura,Buin,776
Lo Espejo,Maipu,770
Conchali,Lampa,769
Puente Alto,Las Condes,768
Calera de Tango,Penaflor,767
San Miguel,San Bernardo,763
Lo Barnechea,Colina,758
Maipu,La Cisterna,758
Nunoa,Maipu,752
Lo Prado,Santiago,750
Buin,Isla de Maipo,749
San Miguel,Puente Alto,749
Maipu,Calera de Tango,739
Maria Pinto,Melipilla,738
Maipu,Cerro Navia,737
Padre Hurtado,Talagante,736
Quilicura,Recoleta,732
Colina,La Pintana,731
Puente Alto,Providencia,729
Renca,Lampa,725
Lampa,Conchali,724
Santiago,Lo Prado,721
San Jose de Maipo,La Florida,720
Talagante,Calera de Tango,704
Puente Alto,San Ramon,701
Cerro Navia,Santiago,699
San Miguel,Maipu,699
Quilicura,La Pintana,697
Maipu,Lo Espejo,693
Providencia,Maipu,689
El Monte,Penaflor,689
Estacion Central,San Bernardo,685
Penaflor,Calera de Tango,683
Renca,Recoleta,682
Buin,Quilicura,680
El Bosque,Santiago,676
Vitacura,Colina,673
Santiago,Huechuraba,673
Lampa,Renca,665
Colina,Providencia,662
San Bernardo,Talagante,658
Nunoa,San Miguel,657
Lo Espejo,San Bernardo,655
Colina,Santiago,654
Recoleta,Renca,653
La Pintana,Quilicura,646
La Granja,Maipu,644
Quilicura,Puente Alto,643
La Pintana,Lampa,642
Puente Alto,Quilicura,641
San Miguel,Estacion Central,640
Maipu,La Granja,640
Isla de Maipo,Buin,634
San Bernardo,Estacion Central,634
San Miguel,Nunoa,632
El Bosque,Maipu,631
Curacavi,Pudahuel,631
Vitacura,La Reina,631
Penaflor,El Monte,630
Las Condes,Puente Alto,630
Santiago,La Reina,624
La Granja,Santiago,621
La Granja,San Miguel,617
El Bosque,Lo Espejo,612
La Florida,Estacion Central,609
San Ramon,San Miguel,604
Santiago,Cerro Navia,604
San Miguel,La Granja,603
La Florida,San Jose de Maipo,600
Puente Alto,Estacion Central,599
San Bernardo,Lo Espejo,591
Nunoa,San Joaquin,590
Santiago,El Bosque,590
San Joaquin,Nunoa,581
El Bosque,San Miguel,579
Lo Espejo,El Bosque,578
Pedro Aguirre Cerda,Maipu,565
Providencia,Puente Alto,563
Conchali,Maipu,562
Lo Barnechea,La Pintana,561
Maipu,El Bosque,561
La Granja,Penalolen,561
Maipu,Conchali,558
San Ramon,La Florida,557
Renca,Estacion Central,557
Santiago,Vitacura,556
El Bosque,La Florida,550
Talagante,Padre Hurtado,549
Penalolen,La Granja,549
Pudahuel,Providencia,547
Macul,Providencia,546
La Florida,San Ramon,546
La Pintana,San Ramon,545
Vitacura,Santiago,545
La Florida,Recoleta,543
Providencia,Pudahuel,542
Lampa,La Pintana,541
Lo Barnechea,La Reina,537
Lo Espejo,San Miguel,537
Estacion Central,Cerro Navia,535
Talagante,San Bernardo,532
Providencia,Macul,530
Estacion Central,La Florida,528
Cerro Navia,Estacion Central,527
Pedro Aguirre Cerda,La Cisterna,527
San Miguel,San Ramon,526
Las Condes,Macul,524
Maipu,Macul,517
Cerrillos,Santiago,517
San Ramon,La Pintana,514
Melipilla,Talagante,514
Maipu,Pedro Aguirre Cerda,513
La Granja,San Bernardo,512
Las Condes,Recoleta,510
San Ramon,San Bernardo,509
Lo Espejo,Puente Alto,507
Macul,Las Condes,507
Maipu,Curacavi,506
Pirque,San Jose de Maipo,503
Providencia,Recoleta,502
Recoleta,Providencia,502
La Cisterna,San Joaquin,500
Santiago,Colina,499
La Florida,Pudahuel,494
La Florida,El Bosque,493
Lo Espejo,Santiago,492
La Cisterna,Pedro Aguirre Cerda,488
San Joaquin,La Cisterna,487
Calera de Tango,Isla de Maipo,486
Cerrillos,Pudahuel,485
San Miguel,El Bosque,483
Huechuraba,Providencia,482
El Bosque,La Granja,481
La Granja,La Pintana,480
Providencia,Estacion Central,480
Curacavi,Penaflor,479
San Bernardo,Penaflor,479
Renca,Colina,478
Padre Hurtado,Santiago,476
Providencia,Colina,475
Recoleta,La Florida,474
Curacavi,Maipu,472
Macul,Maipu,471
Recoleta,Maipu,471
La Granja,El Bosque,471
Maipu,Recoleta,468
Penaflor,San Bernardo,468
Estacion Central,Puente Alto,468
Estacion Central,Renca,467
Santiago,Lo Barnechea,465
Cerrillos,San Bernardo,464
La Pintana,La Granja,463
Nunoa,Estacion Central,461
Colina,Renca,461
Vitacura,Nunoa,460
Pudahuel,La Florida,459
Recoleta,Las Condes,457
Estacion Central,Penaflor,455
La Pintana,Lo Barnechea,452
Talagante,Melipilla,452
Estacion Central,Nunoa,451
Las Condes,San Miguel,449
Lo Barnechea,Santiago,449
Pudahuel,Cerrillos,449
Santiago,La Granja,448
San Miguel,Lo Espejo,445
Isla de Maipo,Penaflor,444
San Bernardo,La Granja,442
Santiago,Cerrillos,441
San Bernardo,Pirque,440
La Pintana,La Florida,439
Las Condes,Cerrillos,438
Estacion Central,Providencia,437
Estacion Central,Padre Hurtado,436
Colina,Pudahuel,434
Isla de Maipo,Calera de Tango,434
Macul,La Reina,431
Providencia,Huechuraba,430
San Bernardo,San Ramon,426
Pudahuel,San Bernardo,425
San Bernardo,Cerrillos,423
Penaflor,Isla de Maipo,419
La Florida,La Pintana,417
Huechuraba,Independencia,409
La Florida,Independencia,409
Recoleta,Colina,406
Recoleta,Pudahuel,405
Lo Espejo,Estacion Central,405
Renca,Huechuraba,404
Huechuraba,Nunoa,404
Penalolen,San Miguel,404
Macul,San Miguel,400
Nunoa,Vitacura,399
Pedro Aguirre Cerda,Cerrillos,396
Huechuraba,Maipu,396
Lampa,Huechuraba,395
Pirque,San Bernardo,395
San Bernardo,Pudahuel,394
Puente Alto,Lo Espejo,394
La Cisterna,Nunoa,394
San Miguel,Las Condes,393
Independencia,Huechuraba,393
Santiago,Padre Hurtado,393
Estacion Central,Quilicura,392
Pudahuel,Nunoa,390
La Granja,Buin,389
Isla de Maipo,San Bernardo,387
Huechuraba,Renca,387
Santiago,Lo Espejo,386
Colina,Recoleta,386
Quilicura,Estacion Central,386
Recoleta,Nunoa,385
Cerrillos,Puente Alto,383
Penalolen,San Joaquin,383
La Cisterna,Estacion Central,382
San Ramon,Maipu,382
San Bernardo,Isla de Maipo,382
San Bernardo,Penalolen,381
San Bernardo,Nunoa,380
San Miguel,Providencia,379
Providencia,San Miguel,378
Huechuraba,Lampa,376
Lampa,Santiago,374
San Ramon,Santiago,373
Pudahuel,Colina,373
Penalolen,San Bernardo,372
Penaflor,Curacavi,369
Recoleta,Estacion Central,369
Lo Barnechea,Nunoa,366
Macul,La Granja,366
Pedro Aguirre Cerda,San Bernardo,364
Cerro Navia,Quilicura,363
La Granja,Nunoa,362
Pudahuel,Padre Hurtado,361
Penalolen,La Cisterna,360
Pudahuel,Recoleta,357
San Joaquin,Penalolen,357
Penaflor,Estacion Central,356
Estacion Central,La Cisterna,356
Pudahuel,Conchali,354
Vitacura,Huechuraba,353
La Florida,Cerrillos,352
Huechuraba,Pudahuel,352
Padre Hurtado,El Monte,351
Quilicura,Las Condes,351
Recoleta,Quinta Normal,351
Penalolen,Estacion Central,351
San Bernardo,Providencia,350
Quinta Normal,Quilicura,349
Nunoa,Recoleta,348
Pirque,La Florida,348
San Joaquin,Maipu,347
Cerrillos,Pedro Aguirre Cerda,347
La Florida,Quinta Normal,346
Lampa,Recoleta,345
La Granja,Macul,344
Lampa,Maipu,344
Maipu,Huechuraba,344
Las Condes,Quilicura,344
Maipu,San Joaquin,343
Pudahuel,Penalolen,343
Penalolen,Pudahuel,342
Recoleta,Lampa,340
San Bernardo,Padre Hurtado,340
Puente Alto,Cerrillos,340
Conchali,Pudahuel,339
La Cisterna,Penalolen,339
Pudahuel,La Cisterna,335
Quinta Normal,Las Condes,332
Nunoa,Pudahuel,331
San Miguel,Penalolen,330
San Miguel,Macul,329
Quilicura,Quinta Normal,329
Renca,La Florida,329
La Florida,Lo Espejo,329
La Cisterna,Pudahuel,328
Padre Hurtado,San Bernardo,326
Quinta Normal,San Bernardo,326
Conchali,La Florida,326
Nunoa,La Granja,325
Cerrillos,Padre Hurtado,325
Estacion Central,Recoleta,325
Quinta Normal,Recoleta,324
La Florida,Renca,323
Santiago,San Ramon,323
Lo Espejo,La Florida,323
Padre Hurtado,Estacion Central,321
Huechuraba,Vitacura,318
Pudahuel,Huechuraba,317
Padre Hurtado,Pudahuel,315
Quinta Normal,La Florida,315
Estacion Central,Lo Espejo,313
Colina,Nunoa,313
Colina,La Reina,312
Quilicura,Independencia,312
Pudahuel,San Miguel,311
La Florida,Pirque,310
La Granja,Las Condes,310
Independencia,Quinta Normal,309
Las Condes,La Granja,308
La Florida,Conchali,308
Penalolen,Vitacura,306
Quinta Normal,Independencia,306
Independencia,Quilicura,305
Las Condes,La Cisterna,304
San Bernardo,Pedro Aguirre Cerda,303
Nunoa,Lo Barnechea,303
Quilicura,Cerro Navia,303
Estacion Central,Conchali,301
Penaflor,Cerrillos,297
Isla de Maipo,Melipilla,297
Cerrillos,Las Condes,296
San Miguel,Pudahuel,295
Pudahuel,La Granja,295
Maipu,San Ramon,294
La Granja,Pudahuel,292
Nunoa,La Cisterna,292
La Cisterna,Las Condes,291
Quinta Normal,Conchali,291
Cerrillos,Penaflor,291
Conchali,Estacion Central,290
Maipu,Lampa,290
Estacion Central,Penalolen,290
Independencia,La Florida,289
Vitacura,Penalolen,289
Las Condes,Lo Prado,288
Conchali,Quinta Normal,287
Nunoa,Huechuraba,287
Padre Hurtado,Cerrillos,285
Lo Barnechea,Penalolen,284
La Cisterna,La Pintana,284
Puente Alto,Quinta Normal,284
Quilicura,San Miguel,284
San Miguel,Quilicura,281
Lo Prado,Las Condes,280
Quinta Normal,Nunoa,280
Renca,San Bernardo,277
Providencia,San Bernardo,275
Quilicura,Providencia,275
Quilicura,Nunoa,274
Lo Barnechea,Puente Alto,274
Cerro Navia,Lampa,273
Pudahuel,Puente Alto,271
Maipu,Independencia,271
Cerrillos,La Florida,271
San Bernardo,Quinta Normal,270
Puente Alto,Pudahuel,270
Paine,Puente Alto,270
Las Condes,Lo Espejo,269
Santiago,Lampa,269
Lampa,Cerro Navia,266
Nunoa,San Bernardo,266
La Cisterna,Quilicura,265
Quinta Normal,Providencia,264
La Cisterna,Cerrillos,263
Renca,Lo Prado,263
Huechuraba,Penalolen,262
Penalolen,Lo Barnechea,261
Buin,El Bosque,260
La Granja,La Reina,260
Providencia,Quilicura,259
Lo Espejo,Pudahuel,258
Providencia,Quinta Normal,257
Macul,La Cisterna,257
Renca,Las Condes,255
Nunoa,Quinta Normal,255
Huechuraba,La Florida,255
Quilicura,La Florida,254
Las Condes,Conchali,253
Cerrillos,La Cisterna,253
San Jose de Maipo,Pirque,252
Las Condes,Quinta Normal,250
Conchali,Las Condes,250
Lo Prado,Renca,250
El Bosque,Buin,249
Las Condes,Cerro Navia,247
Penalolen,Recoleta,246
Colina,Estacion Central,246
Cerro Navia,Las Condes,245
Pedro Aguirre Cerda,Puente Alto,244
Lo Barnechea,Huechuraba,244
Quilicura,La Cisterna,243
Nunoa,Quilicura,243
Recoleta,San Miguel,243
Buin,La Granja,243
Puente Alto,Paine,242
La Pintana,La Cisterna,240
Cerrillos,San Miguel,240
Penaflor,Pudahuel,239
Penalolen,Huechuraba,239
San Miguel,Recoleta,238
Huechuraba,San Miguel,238
La Cisterna,Macul,238
Huechuraba,Lo Barnechea,237
Huechuraba,La Reina,236
San Joaquin,Estacion Central,236
Lo Espejo,Las Condes,235
Vitacura,Recoleta,235
La Florida,Huechuraba,235
Macul,Estacion Central,235
Puente Alto,Pedro Aguirre Cerda,233
Conchali,Providencia,233
Quinta Normal,Puente Alto,232
La Florida,Buin,232
Buin,Talagante,232
San Miguel,Quinta Normal,231
Nunoa,Colina,231
Melipilla,Isla de Maipo,231
Conchali,Nunoa,231
San Bernardo,Renca,230
La Pintana,La Reina,230
Pudahuel,Penaflor,230
Las Condes,Renca,229
Renca,Providencia,228
La Florida,Vitacura,228
La Florida,Pedro Aguirre Cerda,228
Puente Alto,Recoleta,227
Maipu,La Reina,227
Vitacura,Pudahuel,225
Independencia,Maipu,225
La Pintana,Santiago,224
Vitacura,La Florida,224
Pedro Aguirre Cerda,La Florida,223
Macul,San Bernardo,222
San Joaquin,San Bernardo,222
Penalolen,Renca,222
La Cisterna,Providencia,221
Talagante,Buin,220
Quinta Normal,Colina,220
Recoleta,Puente Alto,219
Huechuraba,Estacion Central,219
Renca,San Miguel,218
La Florida,Quilicura,218
Estacion Central,Huechuraba,218
Renca,Penalolen,217
Quinta Normal,Huechuraba,216
El Bosque,Penalolen,216
Estacion Central,Colina,216
Providencia,Renca,216
San Bernardo,Macul,216
Lo Espejo,Penalolen,215
San Miguel,Huechuraba,214
El Monte,Padre Hurtado,212
San Ramon,San Joaquin,212
San Joaquin,Providencia,211
Estacion Central,Independencia,211
Quinta Normal,San Miguel,210
San Bernardo,San Joaquin,210
Lampa,Estacion Central,209
San Joaquin,San Ramon,209
Conchali,San Miguel,209
Pudahuel,El Bosque,208
Lampa,Quinta Normal,207
Lo Espejo,La Granja,207
Estacion Central,El Bosque,207
El Bosque,Estacion Central,206
Las Condes,San Bernardo,206
Nunoa,Conchali,206
Cerrillos,Penalolen,206
Pudahuel,Lo Espejo,205
Penalolen,Cerrillos,205
La Pintana,Maipu,205
Independencia,Estacion Central,202
San Ramon,Penalolen,201
Estacion Central,San Joaquin,201
Puente Alto,Lo Barnechea,201
Santiago,La Pintana,200
Providencia,San Joaquin,200
Colina,Quinta Normal,199
El Bosque,Pudahuel,198
Recoleta,Vitacura,197
Recoleta,San Bernardo,196
Penalolen,El Bosque,194
Lo Barnechea,La Florida,194
San Joaquin,Las Condes,193
Conchali,La Cisterna,193
Renca,Nunoa,192
Independencia,Pudahuel,191
Recoleta,Cerro Navia,189
La Granja,Estacion Central,189
San Miguel,Cerrillos,188
Buin,La Florida,188
Providencia,La Cisterna,187
